Bandit,Reward,Algorithm
227,3,EpsilonGreedy
228,3,EpsilonGreedy
229,3,EpsilonGreedy
230,3,EpsilonGreedy
231,3,EpsilonGreedy
232,3,EpsilonGreedy
233,3,EpsilonGreedy
234,3,EpsilonGreedy
235,3,EpsilonGreedy
236,3,EpsilonGreedy
237,3,EpsilonGreedy
238,3,EpsilonGreedy
239,3,EpsilonGreedy
240,3,EpsilonGreedy
241,3,EpsilonGreedy
242,3,EpsilonGreedy
243,3,EpsilonGreedy
244,3,EpsilonGreedy
245,3,EpsilonGreedy
246,3,EpsilonGreedy
247,3,EpsilonGreedy
248,3,EpsilonGreedy
249,3,EpsilonGreedy
250,3,EpsilonGreedy
251,3,EpsilonGreedy
252,3,EpsilonGreedy
253,3,EpsilonGreedy
254,3,EpsilonGreedy
255,3,EpsilonGreedy
256,3,EpsilonGreedy
257,3,EpsilonGreedy
258,3,EpsilonGreedy
259,3,EpsilonGreedy
260,3,EpsilonGreedy
261,3,EpsilonGreedy
262,3,EpsilonGreedy
263,3,EpsilonGreedy
264,3,EpsilonGreedy
265,3,EpsilonGreedy
266,3,EpsilonGreedy
267,3,EpsilonGreedy
268,3,EpsilonGreedy
269,3,EpsilonGreedy
270,3,EpsilonGreedy
271,3,EpsilonGreedy
272,3,EpsilonGreedy
273,3,EpsilonGreedy
274,3,EpsilonGreedy
275,3,EpsilonGreedy
276,3,EpsilonGreedy
277,3,EpsilonGreedy
278,3,EpsilonGreedy
279,3,EpsilonGreedy
280,3,EpsilonGreedy
281,3,EpsilonGreedy
282,3,EpsilonGreedy
283,3,EpsilonGreedy
284,3,EpsilonGreedy
285,3,EpsilonGreedy
286,3,EpsilonGreedy
287,3,EpsilonGreedy
288,3,EpsilonGreedy
289,3,EpsilonGreedy
290,3,EpsilonGreedy
291,3,EpsilonGreedy
292,3,EpsilonGreedy
293,3,EpsilonGreedy
294,3,EpsilonGreedy
295,3,EpsilonGreedy
296,3,EpsilonGreedy
297,3,EpsilonGreedy
298,3,EpsilonGreedy
299,3,EpsilonGreedy
300,3,EpsilonGreedy
301,3,EpsilonGreedy
302,3,EpsilonGreedy
303,3,EpsilonGreedy
304,3,EpsilonGreedy
305,3,EpsilonGreedy
306,3,EpsilonGreedy
307,3,EpsilonGreedy
308,3,EpsilonGreedy
309,3,EpsilonGreedy
310,3,EpsilonGreedy
311,3,EpsilonGreedy
312,3,EpsilonGreedy
313,3,EpsilonGreedy
314,3,EpsilonGreedy
315,3,EpsilonGreedy
316,3,EpsilonGreedy
317,3,EpsilonGreedy
318,3,EpsilonGreedy
319,3,EpsilonGreedy
320,3,EpsilonGreedy
321,3,EpsilonGreedy
322,3,EpsilonGreedy
323,3,EpsilonGreedy
324,3,EpsilonGreedy
325,3,EpsilonGreedy
326,3,EpsilonGreedy
327,3,EpsilonGreedy
328,3,EpsilonGreedy
329,3,EpsilonGreedy
330,3,EpsilonGreedy
331,3,EpsilonGreedy
332,3,EpsilonGreedy
333,3,EpsilonGreedy
334,3,EpsilonGreedy
335,3,EpsilonGreedy
336,3,EpsilonGreedy
337,3,EpsilonGreedy
338,3,EpsilonGreedy
339,3,EpsilonGreedy
340,3,EpsilonGreedy
341,3,EpsilonGreedy
342,3,EpsilonGreedy
343,3,EpsilonGreedy
344,3,EpsilonGreedy
345,3,EpsilonGreedy
346,3,EpsilonGreedy
347,3,EpsilonGreedy
348,3,EpsilonGreedy
349,3,EpsilonGreedy
350,3,EpsilonGreedy
351,3,EpsilonGreedy
352,3,EpsilonGreedy
353,3,EpsilonGreedy
354,3,EpsilonGreedy
355,3,EpsilonGreedy
356,3,EpsilonGreedy
357,3,EpsilonGreedy
358,3,EpsilonGreedy
359,3,EpsilonGreedy
360,3,EpsilonGreedy
361,3,EpsilonGreedy
362,3,EpsilonGreedy
363,3,EpsilonGreedy
364,3,EpsilonGreedy
365,3,EpsilonGreedy
366,3,EpsilonGreedy
367,3,EpsilonGreedy
368,3,EpsilonGreedy
369,3,EpsilonGreedy
370,3,EpsilonGreedy
371,3,EpsilonGreedy
372,3,EpsilonGreedy
373,3,EpsilonGreedy
374,3,EpsilonGreedy
375,3,EpsilonGreedy
376,3,EpsilonGreedy
377,3,EpsilonGreedy
378,3,EpsilonGreedy
379,3,EpsilonGreedy
380,3,EpsilonGreedy
381,3,EpsilonGreedy
382,3,EpsilonGreedy
383,3,EpsilonGreedy
384,3,EpsilonGreedy
385,3,EpsilonGreedy
386,3,EpsilonGreedy
387,3,EpsilonGreedy
388,3,EpsilonGreedy
389,3,EpsilonGreedy
390,3,EpsilonGreedy
391,3,EpsilonGreedy
392,3,EpsilonGreedy
393,3,EpsilonGreedy
394,3,EpsilonGreedy
395,3,EpsilonGreedy
396,3,EpsilonGreedy
397,3,EpsilonGreedy
398,3,EpsilonGreedy
399,3,EpsilonGreedy
400,3,EpsilonGreedy
401,3,EpsilonGreedy
402,3,EpsilonGreedy
403,3,EpsilonGreedy
404,3,EpsilonGreedy
405,3,EpsilonGreedy
406,3,EpsilonGreedy
407,3,EpsilonGreedy
408,3,EpsilonGreedy
409,3,EpsilonGreedy
410,3,EpsilonGreedy
411,3,EpsilonGreedy
412,3,EpsilonGreedy
413,3,EpsilonGreedy
414,3,EpsilonGreedy
415,3,EpsilonGreedy
416,3,EpsilonGreedy
417,3,EpsilonGreedy
418,3,EpsilonGreedy
419,3,EpsilonGreedy
420,3,EpsilonGreedy
421,3,EpsilonGreedy
422,3,EpsilonGreedy
423,3,EpsilonGreedy
424,3,EpsilonGreedy
425,3,EpsilonGreedy
426,3,EpsilonGreedy
427,3,EpsilonGreedy
428,3,EpsilonGreedy
429,3,EpsilonGreedy
430,3,EpsilonGreedy
431,3,EpsilonGreedy
432,3,EpsilonGreedy
433,3,EpsilonGreedy
434,3,EpsilonGreedy
435,3,EpsilonGreedy
436,3,EpsilonGreedy
437,3,EpsilonGreedy
438,3,EpsilonGreedy
439,3,EpsilonGreedy
440,3,EpsilonGreedy
441,3,EpsilonGreedy
442,3,EpsilonGreedy
443,3,EpsilonGreedy
444,3,EpsilonGreedy
445,3,EpsilonGreedy
446,3,EpsilonGreedy
447,3,EpsilonGreedy
448,3,EpsilonGreedy
449,3,EpsilonGreedy
450,3,EpsilonGreedy
451,3,EpsilonGreedy
452,3,EpsilonGreedy
453,3,EpsilonGreedy
454,3,EpsilonGreedy
455,3,EpsilonGreedy
456,3,EpsilonGreedy
457,3,EpsilonGreedy
458,3,EpsilonGreedy
459,3,EpsilonGreedy
460,3,EpsilonGreedy
461,3,EpsilonGreedy
462,3,EpsilonGreedy
463,3,EpsilonGreedy
464,3,EpsilonGreedy
465,3,EpsilonGreedy
466,3,EpsilonGreedy
467,3,EpsilonGreedy
468,3,EpsilonGreedy
469,3,EpsilonGreedy
470,3,EpsilonGreedy
471,3,EpsilonGreedy
472,3,EpsilonGreedy
473,3,EpsilonGreedy
474,3,EpsilonGreedy
475,3,EpsilonGreedy
476,3,EpsilonGreedy
477,3,EpsilonGreedy
478,3,EpsilonGreedy
479,3,EpsilonGreedy
480,3,EpsilonGreedy
481,3,EpsilonGreedy
